Age,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,Shift,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Department_Neurology,EducationField_Life Sciences,EducationField_Marketing,EducationField_Other,JobRole_Administrative,JobRole_Nurse,JobRole_Other,JobRole_Therapist,MaritalStatus_Married,MaritalStatus_Single
5.679436982359519,0.0,1.0,237.54341144119175,0.0,2.0,2.0,41.030939062719014,3.0,2.0,4.0,1592.251856929315,8.0,1.0,0.7588289015986593,0.0,3.077804326911978,0.0,1.0,2.15414223991168,1.9943234848890157,0.0,2.2609945497009694,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
6.082631545998805,0.0,2.0,85.27436638390355,2.414280921556869,1.0,3.0,29.097835605797314,2.0,2.0,2.0,1897.1560506112803,1.0,0.0,0.7827234958940861,1.0,3.4697239898356527,3.0,3.0,2.719217806433101,2.7506097081099043,0.5759486274293949,2.7281003695541903,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
5.454139516800612,1.0,1.0,279.65913151545067,0.7279436272489517,2.0,4.0,40.339500949451164,2.0,1.0,3.0,356.89342513291257,6.0,1.0,0.7715844261792598,0.0,2.8582143935377453,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
5.208820879811859,0.0,2.0,282.5256652932164,1.187732378557255,4.0,4.0,27.170725199883186,3.0,1.0,3.0,1801.2731190816635,1.0,1.0,0.7588289015986593,0.0,3.077804326911978,3.0,3.0,2.4650949494038765,2.7506097081099043,0.968781723894205,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
4.792827021227992,0.0,1.0,149.44113044497868,0.7279436272489517,1.0,1.0,20.703202311724226,3.0,1.0,2.0,1422.636805505702,9.0,0.0,0.7629202780335033,1.0,2.61820791918304,3.0,3.0,1.163036983992647,1.269807927586691,0.823736883758539,1.2645150845627193,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
5.1438618484213805,0.0,2.0,221.8291491799728,0.7279436272489517,2.0,4.0,35.75446693196852,3.0,1.0,4.0,1118.1227979385706,0.0,0.0,0.7663098923567178,0.0,3.077804326911978,2.0,2.0,2.318361088007171,2.7506097081099043,0.968781723894205,2.5071011738416193,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
6.5194560215865165,0.0,1.0,272.21807503411094,1.187732378557255,3.0,3.0,36.470738722830795,4.0,1.0,1.0,987.2680163676215,4.0,1.0,0.7797139458879074,3.0,3.8139237831177213,3.0,2.0,0.7184336715580064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
5.009006484735839,0.0,1.0,277.38874571213387,4.004024679456224,1.0,4.0,31.362224476932845,3.0,1.0,3.0,1215.3048214628031,1.0,0.0,0.7818227900877233,1.0,0.7680790969515001,2.0,3.0,0.7184336715580064,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.512192507346223,0.0,2.0,70.35594200389927,3.937772350721075,3.0,4.0,22.369404848953216,2.0,3.0,3.0,902.6024386994927,0.0,0.0,0.7808249067890267,0.0,3.4697239898356527,2.0,3.0,2.597866488823414,2.7506097081099043,0.5759486274293949,2.929261972223023,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5.394840900012531,0.0,1.0,268.39394309897557,4.1894511767386735,3.0,3.0,41.030939062719014,3.0,2.0,3.0,1419.2814068479497,6.0,0.0,0.7663098923567178,2.0,4.534485011774684,3.0,2.0,2.318361088007171,2.7506097081099043,1.2367185403545382,2.7281003695541903,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
